,id,name
197,5b69e55f6e167d0006a817c2,Prosciutto crudo stagionato vores
198,5c052ffbbda1fa0007652e6c,Puori Organic Whey Protein PW1
199,5afe6d8a630c7f0007fa84e2,Quiche (1 fetta = 1/8)
200,5c351fed22cdc00007a4bcc9,Quinoa
201,5b4f2d4d6e167d0006a81715,Radish
202,5d7736ceea68390006955726,Random carb dominant
203,5b3372146e167d0006a8165e,Rice
204,5c6035ab22cdc00007a4bdd2,Rice Fuldkornris ris-fix
205,5b3b58366e167d0006a81699,Rice basmati
206,5babcba57471830008bddf8b,Ricotta
207,5b015a67630c7f0007fa8500,Round Steak (scamone)
208,5af5d043630c7f0007fa8488,Røget Laks Norlax
209,5c446f5f22cdc00007a4bd26,Røget Ørred Norlax
210,5b3630596e167d0006a81677,Salad
211,5c71582522cdc00007a4be54,Salame
212,5acbc2f91f0bb90007b41ba8,Salmon filet - Vores laks
213,5ae5cdf5630c7f0007fa83de,Salmone Carpaccio
214,5c2d038722cdc00007a4bc96,Sausage Antonius
215,5bddb4f3e6aee70008a0df49,Semoule
216,5acbc2c61f0bb90007b41ba7,Skyr 0.2% Pære
217,5ad34f081f0bb90007b41bf9,Skyr Naturel 0.2%
218,5af70f43630c7f0007fa8496,Skyr Æble
219,5ae74882630c7f0007fa83f0,Smoothie Blanding Ananas Spinach
220,5d276c6e9f8a080006d6625c,Somersby
221,5ddc21e81cb33a00061eb0bd,Sorte bønner Urtekram 
222,5b1d724c630c7f0007fa861d,Spaghetti Vegansk Levevis
223,5b46de196e167d0006a816df,Spareribs Warpigs
224,5aed63cd630c7f0007fa842b,Speck Føtex
225,5b956aa67471830008bddf10,Speck alto adige igp
226,5b40dfb36e167d0006a816bf,Spicy pølser
227,5b58e51a6e167d0006a81750,Spinach
228,5c0fd85bbda1fa0007652eb0,Starbucks Blueberry Muffin
229,5c106b5cbda1fa0007652eb3,Starbucks Everything Bagel with cheese
230,5c0fd798bda1fa0007652eaf,Starbucks Frappuccino Vanilla (tall)
231,5c106bcdbda1fa0007652eb4,Starbucks Mocha (any)
232,5cc42bf8ea3a3e0006d21812,Starbucks Tiramisu Latte (G)
233,5b1d7b6a630c7f0007fa8621,Strawberries
234,5c7198d322cdc00007a4be5b,Sugar
235,5b5e2ffe6e167d0006a81777,Sushi Temaki
236,5c8e7b5cea3a3e0006d216a7,Susina
237,5af737df630c7f0007fa849b,Svinekød & kalvekød 6-9%
238,5af5cfbf630c7f0007fa8487,Svinekød Skinkeschnitzler Slag. Mest.
239,5b376d956e167d0006a81680,Sweet potato
240,5b141a64630c7f0007fa85bd,Syrup (1 TBS)
241,5c24e7e322cdc00007a4bc76,Tagliatelle
242,5b3f45276e167d0006a816b4,Tomatoe
243,5b2560866e167d0006a81603,Tomatoe Cherry (1)
244,5b4f8f9b6e167d0006a8171b,Tomatoe sauce passata øko
245,5afecdeb630c7f0007fa84ea,Tomino del Boscaiolo (1)
246,5b06df22630c7f0007fa8530,Torta meringa e limone (1 p)
247,5c72f088ea3a3e0006d215d4,Tortilla Chips Salted SantaMaria
248,5b6357786e167d0006a81799,Tortilla Old el paso (1)
249,5db5924f1cb33a00061eb00b,Tortilla Santa Maria (corn & wheat) 100gr
250,5bc4da3b8c1add000773cccf,Tortilla Vores Fuldkorn
251,5b4f8f156e167d0006a8171a,Tortilla wraps fuldkorn
252,5afee5ee630c7f0007fa84ec,Total yogurt greco 0%
253,5b61833d6e167d0006a8178b,Tuna
254,5acbbeb41f0bb90007b41ba1,Tuna Glyngøre
255,5ad784021f0bb90007b41c2d,Tuna levevis
256,5b561a3f6e167d0006a8173f,Tuna vores
257,5acf6da41f0bb90007b41bd3,Turkey breast
258,5b5c1d656e167d0006a81766,Uova esselunga
259,5be207e6e6aee70008a0df60,Uramaki (1)
260,5be6da8fe6aee70008a0df7b,Urtekram Fusilli Wholegrain
261,5b3f51f06e167d0006a816b5,Veal
262,5acd09981f0bb90007b41bb7,Veal Meat
263,5aca5fe91f0bb90007b41b9a,Veggie Meat Naturli
264,5b26a7c26e167d0006a8160e,Vores Kalkun brystfillet
265,5aedc0fa630c7f0007fa8432,Vores Kylling Brystfilet
266,5adf58ba799f2e000778fc02,Vores hindbær frozen
267,5aef5b2e630c7f0007fa8444,Vores kalkun inderfilet
268,5ad8d3a11f0bb90007b41c3a,Vores kalkun strimler
269,5ace5c711f0bb90007b41bc9,Vores kylling hakket 2-6%
270,5c48c37822cdc00007a4bd4a,Wafer sugar free gullon (1)
271,5bf92cabbda1fa0007652e1e,Wasa Delikatess
272,5ae759d6630c7f0007fa83f3,Wasa Sport (1)
273,5c46156422cdc00007a4bd39,Wasa Surdeg (1)
274,5bf97888bda1fa0007652e22,"Yogurt Cheasy 0,1% Vanilje"
275,5d52c16aea68390006955692,Yogurt Salakis
276,5b5b875a6e167d0006a81762,Yogurt Total 0%
277,5b5b2c286e167d0006a8175d,Yogurt magro esselunga
278,5b3679796e167d0006a8167c,Zucchine (100gr)
279,5ad9e3a41f0bb90007b41c46,Ørsted Bacon
280,5af030b6630c7f0007fa844c,Ørsted Bollito di Manzo
281,5adf1176799f2e000778fbfa,Ørsted Brie
282,5acdee121f0bb90007b41bc4,Ørsted Chicken Breast
283,5b17ff0a630c7f0007fa85e2,Ørsted Chicken Legs
284,5ae06c7f799f2e000778fc0e,Ørsted Chicken Wings
285,5addb868799f2e000778fbed,Ørsted Duck Breast
286,5ae1af78799f2e000778fc1c,Ørsted Fontina
287,5af1addd630c7f0007fa845b,Ørsted Hakket Oksekød
288,5b06921e630c7f0007fa852d,Ørsted Meatloaf
289,5adf10f9799f2e000778fbf9,Ørsted Omelette
290,5ad09a4e1f0bb90007b41bde,Ørsted Pig Meat
291,5afd5c06630c7f0007fa84d9,Ørsted Pork neck
292,5ad87b6a1f0bb90007b41c34,Ørsted Pork tenderloin
293,5ad76f881f0bb90007b41c29,Ørsted Roast beef
294,5b4ca7806e167d0006a81703,Ørsted Smoked Ham
295,5adf1072799f2e000778fbf8,Ørsted Wurstel
296,5b0d3c55630c7f0007fa8574,Ørsted hakket oksekød
297,5b3a06f16e167d0006a8168f,Ørsted hakket veal meat
